invoice_id,customer_id,first_name,last_name,customer_email,customer_address,invoice_type,invoice_date,due_date,amount_due,currency,status
INV-1-ad79b27a-2436-11f0-9b56-7a151d959370,c8f2c0ec-7fb6-4cd5-9eb8-f24c2ee8032f,Christopher,Johnson,ChristopherJ@outlook.com,"981 Billy Manor Suite 507
East Alex, NY 41859",Product,2025-03-30,2025-04-29,3033.88,USD,Processing
INV-2-ad79c044-2436-11f0-9b56-7a151d959370,35763fba-3f33-4d61-a7b0-d5b1f033f747,George,Osborn,GeorgeO@gmail.com,"47878 Brittany Mills Suite 510
East Pamelaburgh, TX 24940",Product,2025-03-26,2025-04-25,4247.23,USD,Late
INV-3-ad79ce2c-2436-11f0-9b56-7a151d959370,24980a12-849b-492c-a6a1-788a1e11a082,Dennis,Francis,DennisF@gmail.com,"Unit 9659 Box 1233
DPO AE 48761",Consulting,2025-04-05,2025-05-05,1985.08,USD,Posted
INV-4-ad79d660-2436-11f0-9b56-7a151d959370,988403a9-535d-4c67-a9c0-3b1be87fdf6d,William,Cummings,WilliamC@outlook.com,"26824 Patel Loop Suite 416
Amyville, SC 85518",Product,2025-04-15,2025-05-15,2318.2,USD,Posted
INV-5-ad79e34e-2436-11f0-9b56-7a151d959370,c0b54cde-2936-43a7-a448-106c91819645,Adam,Peterson,AdamP@gmail.com,"26562 Carlos Locks
West Michaelfort, WI 82279",Subscription,2025-04-10,2025-05-10,4391.46,USD,Posted
INV-6-ad79ee48-2436-11f0-9b56-7a151d959370,57d8198d-3b60-4522-8f56-531425cb4084,Danielle,Abbott,DanielleA@gmail.com,"609 Krueger Roads Suite 403
East Jaredport, OK 70781",Training,2025-04-12,2025-05-12,1607.83,USD,Pending
INV-7-ad79f8ac-2436-11f0-9b56-7a151d959370,c505c6de-b0bd-4db0-bba2-31813e4b5150,Troy,Jackson,TroyJ@gmail.com,"07155 Jessica Roads
Amberfort, PW 23600",Subscription,2025-03-24,2025-04-23,4198.2,USD,Late
INV-8-ad7a01e4-2436-11f0-9b56-7a151d959370,09b57892-7451-46a9-8368-af742e853167,Lauren,Cook,LaurenC@yahoo.com,"391 Benjamin Divide Apt. 903
Nicholasville, AZ 26830",Maintenance,2025-03-26,2025-04-25,1543.77,USD,Late
INV-9-ad7a0af4-2436-11f0-9b56-7a151d959370,efdd3297-d6c2-4e93-9ab0-5cc9162b43cb,Joshua,Hall,JoshuaH@yahoo.com,"3273 Patrick Forge
East Jennifertown, TN 40462",Subscription,2025-03-28,2025-04-27,2071.79,USD,Late
INV-10-ad7a1508-2436-11f0-9b56-7a151d959370,f200a514-a994-47b8-bf1d-ec2a56c47ee6,Veronica,Collins,VeronicaC@yahoo.com,"3324 Brown Plains
Aaronview, GU 57924",Product,2025-04-09,2025-05-09,2710.38,USD,Pending
