invoice_id,customer_id,first_name,last_name,customer_email,customer_address,invoice_type,invoice_date,due_date,amount_due,currency,status
INV-1-ebe87e50-2383-11f0-bd9f-7a151d959370,f0970655-05e1-4ba1-a123-684ad25e6272,David,Willis,DavidW@outlook.com,"72170 Justin Coves Suite 976
Jordanview, PW 99150",Onboarding,2025-04-14,2025-05-14,4623.21,USD,Posted
INV-2-ebe88a30-2383-11f0-bd9f-7a151d959370,cbafaf24-6545-478c-8cf9-1d0dd5d617f9,Daniel,Nichols,DanielN@gmail.com,"602 Le Rest Apt. 923
North Laurenburgh, LA 13036",Maintenance,2025-04-12,2025-05-12,3131.73,USD,Posted
INV-3-ebe8932c-2383-11f0-bd9f-7a151d959370,f7d32681-3806-4dab-8b6a-8c3ed6c70240,Christopher,Wilson,ChristopherW@outlook.com,"8805 Regina Valley
Bautistafurt, PW 75762",Onboarding,2025-04-11,2025-05-11,4056.43,USD,Processing
INV-4-ebe8a3da-2383-11f0-bd9f-7a151d959370,cfd888a9-56ec-44a5-b6b9-60c8a2eca30f,Jillian,Davis,JillianD@yahoo.com,"387 Paige Inlet
Greerbury, MD 79652",Product,2025-04-18,2025-05-18,842.13,USD,Processing
INV-5-ebe8b474-2383-11f0-bd9f-7a151d959370,4a472dba-4725-43e0-a06f-b14740dfde4b,Sandra,Carter,SandraC@outlook.com,"74854 Alex Freeway Apt. 856
Port Travis, NY 63790",Maintenance,2025-04-01,2025-05-01,3278.8,USD,Posted
INV-6-ebe8be4c-2383-11f0-bd9f-7a151d959370,b59ac9b3-e23b-4989-a129-1d87a941dbf6,Janet,Ortiz,JanetO@outlook.com,"4828 Shah Cape Suite 351
New Michaelbury, NH 69165",Product,2025-03-24,2025-04-23,1281.38,USD,Late
INV-7-ebe8ca68-2383-11f0-bd9f-7a151d959370,c580671c-a4c5-42be-b202-8bae2443e495,Megan,Pennington,MeganP@yahoo.com,"0649 Jose Plain Suite 092
New Thomasborough, NV 96943",Consulting,2025-04-19,2025-05-19,1089.6,USD,Posted
INV-8-ebe8da4e-2383-11f0-bd9f-7a151d959370,0af1e57d-eb18-4df8-a892-2df767c2dcfe,Stefanie,Hood,StefanieH@gmail.com,"100 Erin Lights Apt. 121
Port Danielview, AS 12855",Subscription,2025-04-11,2025-05-11,4293.68,USD,Posted
INV-9-ebe8e94e-2383-11f0-bd9f-7a151d959370,786d91f9-6d1e-4767-aa76-7e8a3d451a39,Jeffrey,Smith,JeffreyS@yahoo.com,"26355 Justin Inlet
Raymouth, CT 72391",Subscription,2025-03-23,2025-04-22,591.94,USD,Late
INV-10-ebe8f484-2383-11f0-bd9f-7a151d959370,3ff8767a-46bf-4c44-9bf4-572b52bea757,Melissa,Williams,MelissaW@yahoo.com,"473 Flores Ports
South Kristine, CO 85856",Consulting,2025-04-10,2025-05-10,4480.19,USD,Posted
INV-11-ebe90316-2383-11f0-bd9f-7a151d959370,c4cd38a2-32cb-4eea-9386-7ba40fa4e7a9,Sarah,Castro,SarahC@gmail.com,"446 Marquez Drive Apt. 358
West Tracie, FL 91951",Product,2025-04-09,2025-05-09,1421.38,USD,Posted
INV-12-ebe90c30-2383-11f0-bd9f-7a151d959370,481424d8-7e56-4c59-b44e-934577205e04,Nicole,Stone,NicoleS@outlook.com,"USNV Barnett
FPO AE 53604",Consulting,2025-04-19,2025-05-19,1328.39,USD,Pending
INV-13-ebe915ae-2383-11f0-bd9f-7a151d959370,9771ad25-87e9-4b9d-a4f9-a541498df088,Victoria,Martin,VictoriaM@gmail.com,"440 Caldwell Motorway
Kochfort, AL 47783",Consulting,2025-03-23,2025-04-22,1540.53,USD,Late
INV-14-ebe92260-2383-11f0-bd9f-7a151d959370,e7c9a3f8-02d8-4a3f-8ac9-9cb3ecf57bda,Nancy,Boyer,NancyB@yahoo.com,"0007 Smith Meadows Apt. 598
Evanschester, OH 66015",Consulting,2025-03-25,2025-04-24,3363.34,USD,Late
INV-15-ebe92d3c-2383-11f0-bd9f-7a151d959370,ddb5da9f-11a5-403b-b60e-98912a3141cc,Joseph,Snyder,JosephS@yahoo.com,"9155 Long Mill Suite 801
Lake Jamesview, MI 73643",Consulting,2025-04-06,2025-05-06,,USD,Posted
INV-16-ebe93746-2383-11f0-bd9f-7a151d959370,3122bb3a-dfdf-4034-a76e-49aee943de79,Latoya,Williams,LatoyaW@outlook.com,"01889 Clark Plains
South Christianland, FL 57644",Consulting,2025-03-23,2025-04-22,1041.18,USD,Late
INV-17-ebe94254-2383-11f0-bd9f-7a151d959370,870fb99d-a552-4dd6-a9eb-fa889549f531,Michelle,Gonzales,MichelleG@outlook.com,"48286 Johnston Fields
Lake Alexisport, WI 85127",Subscription,2025-04-19,2025-05-19,2110.45,USD,Posted
INV-18-ebe94ce0-2383-11f0-bd9f-7a151d959370,48fc5522-3487-44e4-a8b5-8be15a3a5c9f,Emily,Mcgrath,EmilyM@yahoo.com,"6737 April Plaza
Patrickmouth, PW 82329",Subscription,2025-03-29,2025-04-28,2833.0,USD,Posted
INV-19-ebe9582a-2383-11f0-bd9f-7a151d959370,30330028-f6d6-4727-9321-237e74b0dd64,David,Harris,DavidH@outlook.com,"135 Davis Crossroad Apt. 620
East Anthony, OH 08509",Consulting,2025-03-27,2025-04-26,3634.52,USD,Late
INV-20-ebe96504-2383-11f0-bd9f-7a151d959370,e45691c6-59f2-4440-b35e-bbbf1118a1a1,Makayla,Hughes,MakaylaH@outlook.com,"074 Jennifer Land Apt. 994
Johnsonfort, NE 07044",Consulting,2025-04-11,2025-05-11,1403.32,USD,Processing
INV-21-ebe970bc-2383-11f0-bd9f-7a151d959370,66fc8648-95ee-4782-9639-5576df24a0df,Jesus,Nichols,JesusN@gmail.com,"9753 Steven Streets Apt. 924
Harrisville, PR 09983",Product,2025-03-29,2025-04-28,4103.12,USD,Posted
INV-22-ebe97e7c-2383-11f0-bd9f-7a151d959370,921a15d0-2887-4ef9-b200-b8197d1271e8,Michael,Williams,MichaelW@gmail.com,"PSC 2285, Box 0545
APO AP 91066",Consulting,2025-04-08,2025-05-08,989.51,USD,Canceled
INV-23-ebe987b4-2383-11f0-bd9f-7a151d959370,28bb84ad-6c77-4223-84d5-bb40a4684b2b,Nicole,Thomas,NicoleT@gmail.com,"363 Evans Plaza
Smallfurt, MA 69386",Product,2025-04-11,2025-05-11,3633.95,USD,Posted
INV-24-ebe994a2-2383-11f0-bd9f-7a151d959370,769e5eaa-bef4-44b4-8832-27cb92895558,Laura,Watson,LauraW@outlook.com,"331 Todd Prairie Apt. 144
Morganport, TN 88339",Training,2025-03-29,2025-04-28,792.32,USD,Posted
INV-24-ebe994a2-2383-11f0-bd9f-7a151d959370,769e5eaa-bef4-44b4-8832-27cb92895558,Laura,Watson,LauraW@outlook.com,"331 Todd Prairie Apt. 144
Morganport, TN 88339",Training,2025-03-29,2025-04-28,792.32,USD,Posted
INV-26-ebe9a136-2383-11f0-bd9f-7a151d959370,593200ef-a052-426c-bc74-2c4f166093e1,Debra,Butler,DebraB@gmail.com,"7604 Christine Springs
Mirandaside, HI 20844",Product,2025-04-08,2025-05-08,3728.9,USD,Posted
INV-27-ebe9ac26-2383-11f0-bd9f-7a151d959370,2e7f9def-bac0-469f-bc66-c44fa603e703,Kevin,Benson,KevinB@gmail.com,"22684 John Unions Apt. 272
North Danielle, AS 80006",Subscription,2025-03-30,2025-04-29,1467.26,USD,Posted
INV-28-ebe9b4b4-2383-11f0-bd9f-7a151d959370,2de2ca2d-31ea-4a1b-91c6-dcbc25edf9e6,Catherine,Olson,CatherineO@yahoo.com,"3492 Kelly Bridge Apt. 567
East Michaelborough, AL 69616",Consulting,2025-04-19,2025-05-19,2148.21,USD,Posted
INV-29-ebe9bff4-2383-11f0-bd9f-7a151d959370,399077f0-5aaf-4964-aa79-307b1daa111a,Andrew,Collins,AndrewC@outlook.com,"76414 Laura Circle Apt. 849
Johnsonport, AL 07959",Subscription,2025-03-28,2025-04-27,4773.9,USD,Posted
INV-30-ebe9c968-2383-11f0-bd9f-7a151d959370,f6419796-a112-4d1b-9912-f506e2c3d1e2,Christina,Wallace,ChristinaW@gmail.com,"305 Velez Street
New Randy, SD 28477",Product,2025-03-25,2025-04-24,554.98,USD,Late
INV-31-ebe9d854-2383-11f0-bd9f-7a151d959370,228b07d4-352a-42e6-8ab5-6f4bce2d6672,Ryan,Bowman,RyanB@outlook.com,"PSC 5549, Box 8092
APO AP 57605",Product,2025-04-17,2025-05-17,2394.88,USD,Posted
INV-32-ebe9e326-2383-11f0-bd9f-7a151d959370,aa4069a8-0966-4cf7-826a-2e57d8f8831f,William,Maldonado,WilliamM@outlook.com,"8390 Delgado Vista Suite 935
New Angelicaville, DE 19080",Consulting,2025-04-01,2025-05-01,2840.18,USD,Posted
INV-33-ebe9efa6-2383-11f0-bd9f-7a151d959370,598f4217-df12-4f62-8207-35f7e5106d3d,Nicholas,Johnson,NicholasJ@gmail.com,"93677 Frank Stravenue Suite 874
East Jessemouth, FL 16734",Training,2025-04-09,2025-05-09,4614.56,USD,Processing
INV-34-ebe9fb2c-2383-11f0-bd9f-7a151d959370,dd071928-fd4c-40b8-8458-3c614f859d89,Trevor,Peterson,TrevorP@outlook.com,"803 Diana Lodge
Patrickfurt, OR 05916",Consulting,2025-04-04,2025-05-04,4514.49,USD,Posted
