invoice_id,customer_id,first_name,last_name,customer_email,customer_address,invoice_type,invoice_date,due_date,amount_due,currency,status
INV-1-bc9637b0-23aa-11f0-ade3-7a151d959370,330b7c3f-86e3-4e55-8774-2abf84e8c28c,Rebecca,Fox,RebeccaF@yahoo.com,"USS Hart
FPO AP 69326",Product,2025-03-30,2025-04-29,4196.65,USD,Posted
INV-2-bc96437c-23aa-11f0-ade3-7a151d959370,c9691a8d-54eb-4fcb-8755-2cbcdcfa6586,Kristen,Howell,KristenH@outlook.com,"37767 Garrett Meadows
South Heather, MN 24896",Subscription,2025-04-07,2025-05-07,2122.99,USD,Posted
INV-3-bc964ed0-23aa-11f0-ade3-7a151d959370,c200d686-f8a9-4f92-8927-32dd7eed5c0c,Vincent,Young,VincentY@gmail.com,"516 Kathryn Corner
New Julieton, SD 44932",Training,2025-04-18,2025-05-18,3977.2,USD,Posted
INV-4-bc965a1a-23aa-11f0-ade3-7a151d959370,35b97b62-e5f9-4331-9377-830e9eb1474b,Henry,Williams,HenryW@gmail.com,"04992 Glass Hill
Melissaborough, WY 00920",Consulting,2025-03-29,2025-04-28,2183.08,USD,Posted
INV-5-bc9666b8-23aa-11f0-ade3-7a151d959370,7e1ee968-4d0a-49fa-8486-5b371e37eb87,Mary,Browning,MaryB@gmail.com,"618 Edwards Drives
West Dennisfurt, WY 88141",Subscription,2025-04-13,2025-05-13,,USD,Posted
INV-6-bc9671e4-23aa-11f0-ade3-7a151d959370,c9e91a38-c66c-4c64-a671-8d3ae8e6aad4,Jennifer,Williams,JenniferW@gmail.com,"69813 Phillips Place Apt. 997
South Williamtown, WA 85084",Subscription,2025-04-02,2025-05-02,3735.57,USD,Posted
INV-7-bc967dce-23aa-11f0-ade3-7a151d959370,97f1dc7e-8d49-4c85-b10f-f145c1d77ee0,Charles,Morrison,CharlesM@yahoo.com,"58388 Amanda Freeway
Abigailberg, ME 15055",Consulting,2025-04-02,2025-05-02,893.71,USD,Posted
INV-8-bc9689ea-23aa-11f0-ade3-7a151d959370,a109bbb6-0b5a-48e2-9083-16687e6515ae,Alan,Walton,AlanW@outlook.com,"326 Phillips Trace Suite 174
Johnstontown, LA 42928",Training,2025-04-18,2025-05-18,226.53,USD,Posted
INV-9-bc96934a-23aa-11f0-ade3-7a151d959370,fd73b39a-4ec5-4e2d-abb3-abb9e9d41604,David,Hendrix,DavidH@outlook.com,"46408 Chambers Drive Suite 064
Haroldborough, GU 20499",Training,2025-04-09,2025-05-09,4639.2,USD,Canceled
INV-10-bc969ebc-23aa-11f0-ade3-7a151d959370,8397a169-2704-46bd-9a9c-a5628cb135da,Amber,Obrien,AmberO@gmail.com,"85477 Mcdaniel Spring
North Christopher, ND 69917",Subscription,2025-03-29,2025-04-28,4294.15,USD,Pending
INV-10-bc969ebc-23aa-11f0-ade3-7a151d959370,8397a169-2704-46bd-9a9c-a5628cb135da,Amber,Obrien,AmberO@gmail.com,"85477 Mcdaniel Spring
North Christopher, ND 69917",Subscription,2025-03-29,2025-04-28,4294.15,USD,Pending
INV-12-bc96aed4-23aa-11f0-ade3-7a151d959370,37dbe714-73d8-4520-ab5e-7dc9b3bc2a5d,Susan,Roberts,SusanR@yahoo.com,"9717 Aaron Light Suite 753
Port Robertville, OH 31402",Product,2025-04-12,2025-05-12,4682.43,USD,Canceled
INV-13-bc96b762-23aa-11f0-ade3-7a151d959370,fd2c1e46-161f-4575-a74c-e200027c1763,Nathan,Sanchez,NathanS@yahoo.com,"05274 Heidi Neck
East Jenniferfort, FL 49744",Subscription,2025-03-27,2025-04-26,2480.31,USD,Late
INV-14-bc96c040-23aa-11f0-ade3-7a151d959370,8934dc2a-e2f1-40cc-8925-94e6c29d3c37,Kimberly,Boyle,KimberlyB@outlook.com,"9728 Wheeler Extensions Suite 743
North Janet, ME 33516",Training,2025-03-26,2025-04-25,254.8,USD,Late
INV-15-bc96cf04-23aa-11f0-ade3-7a151d959370,6c0008df-7793-425e-ba7d-12f2dba7f804,Karina,Sanchez,KarinaS@outlook.com,"PSC 4635, Box 6380
APO AP 67046",Product,2025-04-09,2025-05-09,2638.34,USD,Pending
INV-16-bc96d6c0-23aa-11f0-ade3-7a151d959370,f45bb300-a625-44be-8c5a-5a5ff532657d,George,Sanchez,GeorgeS@outlook.com,"3533 Bennett Drive
South Williamshire, FM 44514",Subscription,2025-04-06,2025-05-06,3866.85,USD,Posted
